"kuerzel";"personalTyp";"anrede";"titel";"amtsbezeichnung";"nachname";"vorname";"geschlecht";"geburtsdatum";"staatsangehoerigkeit";"strassenname";"hausnummer";"hausnummerZusatz";"plz";"wohnort";"telefon";"telefonMobil";"emailPrivat";"emailDienstlich";"istSichtbar";"istRelevantFuerStatistik"
"GARR";"LEHRKRAFT";"Frau";"";"";"Garrelts";"Anke";"4";"1980-05-23";"000";"Essenplatz";"25";"";"41239";"Mönchengladbach";"01234 977627";"0197 173347";"A.Garrelts@lmail.de";"a.garrelts@dienst.lmail.com";"true";"true"
"GELL";"LEHRKRAFT";"Frau";"Dr.";"";"Gellich";"Barbara";"4";"1999-03-03";"000";"Nach dem französischen Kirchhof";"486";"";"40233";"Düsseldorf";"01234 715022";"0197 242416";"B.Gellich@lmail.de";"b.gellich@dienst.lmail.com";"true";"true"
"GER1";"LEHRKRAFT";"Herr";"";"";"Gerth";"Klaus";"3";"1993-04-13";"000";"Englische Straße";"230";"";"58456";"Witten";"01234 289386";"0197 757285";"K.Gerth@lmail.de";"k.gerth@dienst.lmail.com";"true";"true"
"GERO";"LEHRKRAFT";"Herr";"";"";"Gerold";"Markus";"3";"1950-11-22";"000";"Bullenwinkel";"10";"";"50737";"Köln";"01234 224124";"0197 694321";"M.Gerold@lmail.de";"m.gerold@dienst.lmail.com";"true";"false"
"GEßB";"LEHRKRAFT";"Herr";"";"";"Geßberg";"Steffen";"3";"1954-01-01";"000";"Schöneicher Chaussee";"138";"";"45131";"Essen";"01234 408706";"0197 236211";"S.Gessberg@lmail.de";"s.gessberg@dienst.lmail.com";"true";"false"
"GIE1";"LEHRKRAFT";"Herr";"";"";"Giesen";"Marko";"3";"1966-08-29";"000";"Treskowstraße";"76";"";"45277";"Essen";"01234 339406";"0197 969854";"M.Giesen@lmail.de";"m.giesen@dienst.lmail.com";"true";"true"
"GIES";"LEHRKRAFT";"Frau";"";"";"Giese";"Lea";"4";"1963-09-18";"000";"Scheunenquergasse";"275";"";"32545";"Bad Oeynhausen";"01234 571944";"0197 937818";"L.Giese@lmail.de";"l.giese@dienst.lmail.com";"true";"false"
"GILD";"LEHRKRAFT";"Frau";"";"";"Gildemeister";"Christina";"4";"1988-02-29";"000";"Cedernstraße";"416";"";"57074";"Siegen";"01234 501896";"0197 102295";"C.Gildemeister@lmail.de";"c.gildemeister@dienst.lmail.com";"true";"true"
"GLAS";"LEHRKRAFT";"Herr";"DR.";"";"Glasenapp";"Michael";"3";"1977-03-06";"000";"Gotha-Allee";"314";"";"51503";"Rösrath";"01234 367067";"0197 531398";"M.Glasenapp@lmail.de";"m.glasenapp@dienst.lmail.com";"true";"true"
"GOLD";"LEHRKRAFT";"Herr";"";"";"Goldmann";"Christian";"3";"1967-07-06";"000";"Freienbrinker Saum";"216";"";"44135";"Dortmund";"01234 764421";"0197 175448";"C.Goldmann@lmail.de";"c.goldmann@dienst.lmail.com";"true";"false"
"GRO1";"LEHRKRAFT";"Frau";"";"";"Große-Vorspoel";"Nicole";"4";"1995-01-15";"000";"Fraunhoferstraße";"246";"";"50129";"Bergheim";"01234 338760";"0197 440345";"N.Grosse-Vorspoel@lmail.de";"n.grosse-vorspoel@dienst.lmail.com";"true";"true"
"GROß";"LEHRKRAFT";"Frau";"";"";"Große-Vorspoel";"Martina";"4";"1981-10-18";"000";"Peter-Hille-Straße";"184";"";"63874";"Dammbach";"01234 389310";"0197 557526";"M.Grosse-Vorspoel@lmail.de";"m.grosse-vorspoel@dienst.lmail.com";"true";"true"
"GÖDE";"LEHRKRAFT";"Herr";"";"";"Gödekens";"Marcel";"3";"1995-08-17";"000";"Allee nach Berlin";"315";"";"44627";"Herne";"01234 882480";"0197 874645";"M.Goedekens@lmail.de";"m.goedekens@dienst.lmail.com";"true";"true"
"HACK";"LEHRKRAFT";"Herr";"";"";"Hackenbracht";"Martin";"3";"1990-08-15";"000";"Schloßparkstraße";"351";"";"45897";"Gelsenkirchen";"01234 743568";"0197 216065";"M.Hackenbracht@lmail.de";"m.hackenbracht@dienst.lmail.com";"true";"true"
"HAME";"LEHRKRAFT";"Frau";"";"";"Hamel";"Andrea";"4";"1966-01-12";"000";"Luisenplatz";"343";"";"57223";"Kreuztal";"01234 122306";"0197 787432";"A.Hamel@lmail.de";"a.hamel@dienst.lmail.com";"true";"false"
"HANH";"LEHRKRAFT";"Herr";"";"";"Hanhof";"Sebastian";"3";"1956-08-08";"000";"Brauhofstraße";"277";"";"53797";"Lohmar";"01234 529903";"0197 876151";"S.Hanhof@lmail.de";"s.hanhof@dienst.lmail.com";"true";"false"
"HANI";"LEHRKRAFT";"Frau";"";"";"Haniel";"Petra";"4";"1963-06-27";"000";"Neue Gasse";"227";"";"50127";"Bergheim";"01234 965098";"0197 367566";"P.Haniel@lmail.de";"p.haniel@dienst.lmail.com";"true";"true"
"HARE";"LEHRKRAFT";"Frau";"";"";"Harenberg";"Marie";"4";"1993-11-05";"000";"Kleine Ackerstraße";"88";"";"33790";"Halle";"01234 479800";"0197 859978";"M.Harenberg@lmail.de";"m.harenberg@dienst.lmail.com";"true";"true"
"HARK";"LEHRKRAFT";"Herr";"";"";"Harke";"Dirk";"3";"1977-12-24";"000";"Am Hohenzollernkanal";"240";"";"41179";"Mönchengladbach";"01234 725354";"0197 293501";"D.Harke@lmail.de";"d.harke@dienst.lmail.com";"true";"false"
"HAS";"LEHRKRAFT";"Frau";"";"";"Has";"Julia";"4";"1964-10-06";"000";"Odernheimer Straße";"427";"";"52382";"Niederzier";"01234 331227";"0197 193218";"J.Has@lmail.de";"j.has@dienst.lmail.com";"true";"false"
"HAUM";"LEHRKRAFT";"Herr";"";"";"Haumers";"Kevin";"3";"1958-10-26";"000";"Gervinusstraße";"16";"";"52459";"Inden";"01234 945000";"0197 182539";"K.Haumers@lmail.de";"k.haumers@dienst.lmail.com";"true";"true"
"HAUT";"LEHRKRAFT";"Frau";"";"";"Hauth";"Heike";"4";"1989-07-06";"000";"Gotha-Allee";"252";"";"48336";"Sassenberg";"01234 596127";"0197 566895";"H.Hauth@lmail.de";"h.hauth@dienst.lmail.com";"true";"false"
"HECK";"LEHRKRAFT";"Frau";"";"";"Hecking";"Nadine";"4";"1988-07-13";"000";"Ohmstraße";"122";"";"59872";"Meschede";"01234 518339";"0197 975853";"N.Hecking@lmail.de";"n.hecking@dienst.lmail.com";"true";"false"
"HELF";"LEHRKRAFT";"Frau";"";"";"Helffreich";"Christina";"4";"1975-12-14";"000";"Steffelbauerstraße";"430";"";"47506";"Neukirchen-Vluyn";"01234 272432";"0197 505618";"C.Helffreich@lmail.de";"c.helffreich@dienst.lmail.com";"true";"true"
"HELZ";"LEHRKRAFT";"Frau";"";"";"Helzel";"Claudia";"4";"1963-02-07";"000";"Köllnische Straße";"273";"";"53804";"Much";"01234 638416";"0197 887662";"C.Helzel@lmail.de";"c.helzel@dienst.lmail.com";"true";"false"
"HEMP";"LEHRKRAFT";"Frau";"";"";"Hemphill";"Jessika";"4";"1982-05-01";"000";"Niebergallstraße";"156";"";"40595";"Düsseldorf";"01234 185900";"0197 400775";"J.Hemphill@lmail.de";"j.hemphill@dienst.lmail.com";"true";"false"
"HEN1";"LEHRKRAFT";"Frau";"";"";"Henningsen";"Mandy";"4";"1996-08-31";"000";"Erpetaler Weg";"196";"";"59387";"Ascheberg";"01234 313840";"0197 401917";"M.Henningsen@lmail.de";"m.henningsen@dienst.lmail.com";"true";"true"
"HENG";"LEHRKRAFT";"Herr";"";"";"Hengst";"Alexander";"3";"1959-11-25";"000";"Augsburger Straße";"426";"";"46119";"Oberhausen";"01234 354505";"0197 576856";"A.Hengst@lmail.de";"a.hengst@dienst.lmail.com";"true";"false"
"HENK";"LEHRKRAFT";"Frau";"";"";"Henkel";"Jessica";"4";"1976-03-18";"000";"Sophienkirch-Gasse";"91";"";"42119";"Wuppertal";"01234 871277";"0197 494873";"J.Henkel@lmail.de";"j.henkel@dienst.lmail.com";"true";"true"
"HENS";"LEHRKRAFT";"Herr";"";"";"Henser";"Ralph";"3";"1970-05-05";"000";"Friedbergstraße";"210";"";"40629";"Düsseldorf";"01234 730839";"0197 559061";"R.Henser@lmail.de";"r.henser@dienst.lmail.com";"true";"false"
"HEUV";"LEHRKRAFT";"Frau";"";"";"Heuveldop";"Lea";"4";"1978-12-31";"000";"Singerstraße";"473";"";"53925";"Kall";"01234 812386";"0197 423365";"L.Heuveldop@lmail.de";"l.heuveldop@dienst.lmail.com";"true";"true"
"HOF1";"LEHRKRAFT";"Herr";"";"";"Hoffmann";"Phillipp";"3";"1986-10-07";"000";"Adlershofer Straße";"235";"";"52382";"Niederzier";"01234 814586";"0197 923197";"P.Hoffmann@lmail.de";"p.hoffmann@dienst.lmail.com";"true";"true"
"HOFF";"LEHRKRAFT";"Frau";"";"";"Hoffmann";"Franziska";"4";"1986-11-28";"000";"Mühltaler Straße";"67";"";"33729";"Bielefeld";"01234 562574";"0197 359035";"F.Hoffmann@lmail.de";"f.hoffmann@dienst.lmail.com";"true";"false"
"HOL1";"LEHRKRAFT";"Frau";"";"";"Holthusen";"Ursula";"4";"1983-02-24";"000";"Albert-Berner-Straße";"479";"";"53343";"Wachtberg";"01234 637482";"0197 519824";"U.Holthusen@lmail.de";"u.holthusen@dienst.lmail.com";"true";"false"
"HOLD";"LEHRKRAFT";"Frau";"";"";"Hold";"Vanessa";"4";"1992-03-02";"000";"Treskowallee";"2";"";"30173";"Hannover";"01234 355618";"0197 842708";"V.Hold@lmail.de";"v.hold@dienst.lmail.com";"true";"false"
"HOPS";"LEHRKRAFT";"Frau";"";"";"Hopster";"Silke";"4";"1955-05-22";"000";"Beethovenstraße";"378";"";"59075";"Hamm";"01234 256183";"0197 425855";"S.Hopster@lmail.de";"s.hopster@dienst.lmail.com";"true";"true"
"HÖFE";"LEHRKRAFT";"Frau";"";"";"Höfelmann";"Tanja";"4";"1967-08-27";"000";"Kleine Präsidentenstraße";"267";"";"59557";"Lippstadt";"01234 963566";"0197 171578";"T.Hoefelmann@lmail.de";"t.hoefelmann@dienst.lmail.com";"true";"true"
"HÜPE";"LEHRKRAFT";"Frau";"";"";"Hüpe";"Monika";"4";"1965-01-19";"000";"Breestpromenade";"58";"";"47445";"Moers";"01234 282979";"0197 391943";"M.Huepe@lmail.de";"m.huepe@dienst.lmail.com";"true";"true"
"IVEN";"LEHRKRAFT";"Herr";"";"";"Iven";"Christian";"3";"1970-07-31";"000";"Schwedter Straße";"46";"";"44369";"Dortmund";"01234 258824";"0197 801250";"C.Iven@lmail.de";"c.iven@dienst.lmail.com";"true";"true"
"JANN";"LEHRKRAFT";"Frau";"";"";"Jannsen";"Sabine";"4";"1986-10-01";"000";"Stromstraße";"284";"";"58507";"Lüdenscheid";"01234 129554";"0197 940839";"S.Jannsen@lmail.de";"s.jannsen@dienst.lmail.com";"true";"true"
"JENN";"LEHRKRAFT";"Frau";"";"";"Jennings";"Angelika";"4";"1989-11-14";"000";"Biesdorfer Weg";"367";"";"47647";"Kerken";"01234 460432";"0197 289390";"A.Jennings@lmail.de";"a.jennings@dienst.lmail.com";"true";"true"
