"nachname";"vorname";"geburtsdatum";"schuljahr";"abschnitt";"fach";"fachlehrer";"kurs";"kursart";"jahrgaenge";"note";"abiturfach";"wochenstd";"externeschulnr";"zusatzkraft";"wochenstdzusatzkraft";"fehlstd";"unentschfehlstd";"mahnung";"mahndatum"
"Becker";"Niklas";"27.08.2007";"2025";"2";"D";"";"";"PUK";"";"1";"";"4";"";"";"";"0";"0";"";""
"Becker";"Niklas";"27.08.2007";"2025";"2";"M";"";"";"PUK";"";"4";"";"4";"";"";"";"0";"0";"";""
"Becker";"Niklas";"27.08.2007";"2025";"2";"E";"";"";"PUK";"";"1";"";"4";"";"";"";"0";"0";"";""
"Becker";"Niklas";"27.08.2007";"2025";"2";"PH";"";"";"PUK";"";"3";"";"4";"";"";"";"0";"0";"";""
"Becker";"Niklas";"27.08.2007";"2025";"2";"GE";"";"";"PUK";"";"3";"";"4";"";"";"";"0";"0";"";""
"Yıldız";"Mehmet";"03.05.2007";"2025";"2";"D";"";"";"PUK";"";"5";"";"4";"";"";"";"0";"0";"";""
"Yıldız";"Mehmet";"03.05.2007";"2025";"2";"M";"";"";"PUK";"";"3";"";"4";"";"";"";"0";"0";"";""
"Yıldız";"Mehmet";"03.05.2007";"2025";"2";"E";"";"";"PUK";"";"1";"";"4";"";"";"";"0";"0";"";""
"Yıldız";"Mehmet";"03.05.2007";"2025";"2";"PH";"";"";"PUK";"";"6";"";"4";"";"";"";"0";"0";"";""
"Yıldız";"Mehmet";"03.05.2007";"2025";"2";"GE";"";"";"PUK";"";"4";"";"4";"";"";"";"0";"0";"";""
"Kaya";"Ayşe";"17.12.2008";"2025";"2";"D";"";"";"PUK";"";"5";"";"4";"";"";"";"0";"0";"";""
"Kaya";"Ayşe";"17.12.2008";"2025";"2";"M";"";"";"PUK";"";"1";"";"4";"";"";"";"0";"0";"";""
"Kaya";"Ayşe";"17.12.2008";"2025";"2";"E";"";"";"PUK";"";"4";"";"4";"";"";"";"0";"0";"";""
"Kaya";"Ayşe";"17.12.2008";"2025";"2";"PH";"";"";"PUK";"";"1";"";"4";"";"";"";"0";"0";"";""
"Kaya";"Ayşe";"17.12.2008";"2025";"2";"GE";"";"";"PUK";"";"5";"";"4";"";"";"";"0";"0";"";""
"Çelik";"Selin";"09.10.2009";"2025";"2";"D";"";"";"PUK";"";"3";"";"4";"";"";"";"0";"0";"";""
"Çelik";"Selin";"09.10.2009";"2025";"2";"M";"";"";"PUK";"";"6";"";"4";"";"";"";"0";"0";"";""
"Çelik";"Selin";"09.10.2009";"2025";"2";"E";"";"";"PUK";"";"5";"";"4";"";"";"";"0";"0";"";""
"Çelik";"Selin";"09.10.2009";"2025";"2";"PH";"";"";"PUK";"";"3";"";"4";"";"";"";"0";"0";"";""
"Çelik";"Selin";"09.10.2009";"2025";"2";"GE";"";"";"PUK";"";"5";"";"4";"";"";"";"0";"0";"";""
"Arslan";"Hasan";"14.07.2007";"2025";"2";"D";"";"";"PUK";"";"2";"";"4";"";"";"";"0";"0";"";""
"Arslan";"Hasan";"14.07.2007";"2025";"2";"M";"";"";"PUK";"";"6";"";"4";"";"";"";"0";"0";"";""
"Arslan";"Hasan";"14.07.2007";"2025";"2";"E";"";"";"PUK";"";"1";"";"4";"";"";"";"0";"0";"";""
"Arslan";"Hasan";"14.07.2007";"2025";"2";"PH";"";"";"PUK";"";"1";"";"4";"";"";"";"0";"0";"";""
"Arslan";"Hasan";"14.07.2007";"2025";"2";"GE";"";"";"PUK";"";"6";"";"4";"";"";"";"0";"0";"";""
"Doğan";"Zeynep";"21.03.2008";"2025";"2";"D";"";"";"PUK";"";"2";"";"4";"";"";"";"0";"0";"";""
"Doğan";"Zeynep";"21.03.2008";"2025";"2";"M";"";"";"PUK";"";"3";"";"4";"";"";"";"0";"0";"";""
"Doğan";"Zeynep";"21.03.2008";"2025";"2";"E";"";"";"PUK";"";"1";"";"4";"";"";"";"0";"0";"";""
"Doğan";"Zeynep";"21.03.2008";"2025";"2";"PH";"";"";"PUK";"";"2";"";"4";"";"";"";"0";"0";"";""
"Doğan";"Zeynep";"21.03.2008";"2025";"2";"GE";"";"";"PUK";"";"1";"";"4";"";"";"";"0";"0";"";""
"Kowalski";"Piotr";"06.06.2007";"2025";"2";"D";"";"";"PUK";"";"4";"";"4";"";"";"";"0";"0";"";""
"Kowalski";"Piotr";"06.06.2007";"2025";"2";"M";"";"";"PUK";"";"3";"";"4";"";"";"";"0";"0";"";""
"Kowalski";"Piotr";"06.06.2007";"2025";"2";"E";"";"";"PUK";"";"4";"";"4";"";"";"";"0";"0";"";""
"Kowalski";"Piotr";"06.06.2007";"2025";"2";"PH";"";"";"PUK";"";"6";"";"4";"";"";"";"0";"0";"";""
"Kowalski";"Piotr";"06.06.2007";"2025";"2";"GE";"";"";"PUK";"";"3";"";"4";"";"";"";"0";"0";"";""
"Nowak";"Ewa";"11.11.2008";"2025";"2";"D";"";"";"PUK";"";"2";"";"4";"";"";"";"0";"0";"";""
"Nowak";"Ewa";"11.11.2008";"2025";"2";"M";"";"";"PUK";"";"3";"";"4";"";"";"";"0";"0";"";""
"Nowak";"Ewa";"11.11.2008";"2025";"2";"E";"";"";"PUK";"";"3";"";"4";"";"";"";"0";"0";"";""
"Nowak";"Ewa";"11.11.2008";"2025";"2";"PH";"";"";"PUK";"";"2";"";"4";"";"";"";"0";"0";"";""
"Nowak";"Ewa";"11.11.2008";"2025";"2";"GE";"";"";"PUK";"";"6";"";"4";"";"";"";"0";"0";"";""
"Wójcik";"Katarzyna";"16.08.2009";"2025";"2";"D";"";"";"PUK";"";"3";"";"4";"";"";"";"0";"0";"";""
"Wójcik";"Katarzyna";"16.08.2009";"2025";"2";"M";"";"";"PUK";"";"6";"";"4";"";"";"";"0";"0";"";""
"Wójcik";"Katarzyna";"16.08.2009";"2025";"2";"E";"";"";"PUK";"";"6";"";"4";"";"";"";"0";"0";"";""
"Wójcik";"Katarzyna";"16.08.2009";"2025";"2";"PH";"";"";"PUK";"";"6";"";"4";"";"";"";"0";"0";"";""
"Wójcik";"Katarzyna";"16.08.2009";"2025";"2";"GE";"";"";"PUK";"";"1";"";"4";"";"";"";"0";"0";"";""
"Kowalczyk";"Marcin";"02.01.2007";"2025";"2";"D";"";"";"PUK";"";"5";"";"4";"";"";"";"0";"0";"";""
"Kowalczyk";"Marcin";"02.01.2007";"2025";"2";"M";"";"";"PUK";"";"6";"";"4";"";"";"";"0";"0";"";""
"Kowalczyk";"Marcin";"02.01.2007";"2025";"2";"E";"";"";"PUK";"";"2";"";"4";"";"";"";"0";"0";"";""
"Kowalczyk";"Marcin";"02.01.2007";"2025";"2";"PH";"";"";"PUK";"";"5";"";"4";"";"";"";"0";"0";"";""
"Kowalczyk";"Marcin";"02.01.2007";"2025";"2";"GE";"";"";"PUK";"";"6";"";"4";"";"";"";"0";"0";"";""
"Al-Ahmad";"Omar";"18.09.2008";"2025";"2";"D";"";"";"PUK";"";"2";"";"4";"";"";"";"0";"0";"";""
"Al-Ahmad";"Omar";"18.09.2008";"2025";"2";"M";"";"";"PUK";"";"2";"";"4";"";"";"";"0";"0";"";""
"Al-Ahmad";"Omar";"18.09.2008";"2025";"2";"E";"";"";"PUK";"";"4";"";"4";"";"";"";"0";"0";"";""
"Al-Ahmad";"Omar";"18.09.2008";"2025";"2";"PH";"";"";"PUK";"";"4";"";"4";"";"";"";"0";"0";"";""
"Al-Ahmad";"Omar";"18.09.2008";"2025";"2";"GE";"";"";"PUK";"";"3";"";"4";"";"";"";"0";"0";"";""
"Al-Hassan";"Nour";"25.02.2007";"2025";"2";"D";"";"";"PUK";"";"6";"";"4";"";"";"";"0";"0";"";""
"Al-Hassan";"Nour";"25.02.2007";"2025";"2";"M";"";"";"PUK";"";"6";"";"4";"";"";"";"0";"0";"";""
"Al-Hassan";"Nour";"25.02.2007";"2025";"2";"E";"";"";"PUK";"";"5";"";"4";"";"";"";"0";"0";"";""
"Al-Hassan";"Nour";"25.02.2007";"2025";"2";"PH";"";"";"PUK";"";"2";"";"4";"";"";"";"0";"0";"";""
"Al-Hassan";"Nour";"25.02.2007";"2025";"2";"GE";"";"";"PUK";"";"6";"";"4";"";"";"";"0";"0";"";""
"Ibrahim";"Tariq";"13.11.2009";"2025";"2";"D";"";"";"PUK";"";"3";"";"4";"";"";"";"0";"0";"";""
"Ibrahim";"Tariq";"13.11.2009";"2025";"2";"M";"";"";"PUK";"";"1";"";"4";"";"";"";"0";"0";"";""
"Ibrahim";"Tariq";"13.11.2009";"2025";"2";"E";"";"";"PUK";"";"2";"";"4";"";"";"";"0";"0";"";""
"Ibrahim";"Tariq";"13.11.2009";"2025";"2";"PH";"";"";"PUK";"";"1";"";"4";"";"";"";"0";"0";"";""
"Ibrahim";"Tariq";"13.11.2009";"2025";"2";"GE";"";"";"PUK";"";"3";"";"4";"";"";"";"0";"0";"";""
"Papadopoulos";"Nikos";"20.05.2007";"2025";"2";"D";"";"";"PUK";"";"4";"";"4";"";"";"";"0";"0";"";""
"Papadopoulos";"Nikos";"20.05.2007";"2025";"2";"M";"";"";"PUK";"";"3";"";"4";"";"";"";"0";"0";"";""
"Papadopoulos";"Nikos";"20.05.2007";"2025";"2";"E";"";"";"PUK";"";"1";"";"4";"";"";"";"0";"0";"";""
"Papadopoulos";"Nikos";"20.05.2007";"2025";"2";"PH";"";"";"PUK";"";"2";"";"4";"";"";"";"0";"0";"";""
"Papadopoulos";"Nikos";"20.05.2007";"2025";"2";"GE";"";"";"PUK";"";"5";"";"4";"";"";"";"0";"0";"";""
"Georgiou";"Elena";"31.08.2008";"2025";"2";"D";"";"";"PUK";"";"6";"";"4";"";"";"";"0";"0";"";""
"Georgiou";"Elena";"31.08.2008";"2025";"2";"M";"";"";"PUK";"";"3";"";"4";"";"";"";"0";"0";"";""
"Georgiou";"Elena";"31.08.2008";"2025";"2";"E";"";"";"PUK";"";"2";"";"4";"";"";"";"0";"0";"";""
"Georgiou";"Elena";"31.08.2008";"2025";"2";"PH";"";"";"PUK";"";"6";"";"4";"";"";"";"0";"0";"";""
"Georgiou";"Elena";"31.08.2008";"2025";"2";"GE";"";"";"PUK";"";"4";"";"4";"";"";"";"0";"0";"";""
"Rossi";"Lorenzo";"04.03.2007";"2025";"2";"D";"";"";"PUK";"";"4";"";"4";"";"";"";"0";"0";"";""
"Rossi";"Lorenzo";"04.03.2007";"2025";"2";"M";"";"";"PUK";"";"6";"";"4";"";"";"";"0";"0";"";""
"Rossi";"Lorenzo";"04.03.2007";"2025";"2";"E";"";"";"PUK";"";"4";"";"4";"";"";"";"0";"0";"";""
"Rossi";"Lorenzo";"04.03.2007";"2025";"2";"PH";"";"";"PUK";"";"2";"";"4";"";"";"";"0";"0";"";""
"Rossi";"Lorenzo";"04.03.2007";"2025";"2";"GE";"";"";"PUK";"";"3";"";"4";"";"";"";"0";"0";"";""
"Esposito";"Sofia";"22.10.2008";"2025";"2";"D";"";"";"PUK";"";"2";"";"4";"";"";"";"0";"0";"";""
"Esposito";"Sofia";"22.10.2008";"2025";"2";"M";"";"";"PUK";"";"2";"";"4";"";"";"";"0";"0";"";""
"Esposito";"Sofia";"22.10.2008";"2025";"2";"E";"";"";"PUK";"";"6";"";"4";"";"";"";"0";"0";"";""
"Esposito";"Sofia";"22.10.2008";"2025";"2";"PH";"";"";"PUK";"";"5";"";"4";"";"";"";"0";"0";"";""
"Esposito";"Sofia";"22.10.2008";"2025";"2";"GE";"";"";"PUK";"";"5";"";"4";"";"";"";"0";"0";"";""
"Kovalenko";"Olena";"15.06.2008";"2025";"2";"D";"";"";"PUK";"";"3";"";"4";"";"";"";"0";"0";"";""
"Kovalenko";"Olena";"15.06.2008";"2025";"2";"M";"";"";"PUK";"";"6";"";"4";"";"";"";"0";"0";"";""
"Kovalenko";"Olena";"15.06.2008";"2025";"2";"E";"";"";"PUK";"";"5";"";"4";"";"";"";"0";"0";"";""
"Kovalenko";"Olena";"15.06.2008";"2025";"2";"PH";"";"";"PUK";"";"4";"";"4";"";"";"";"0";"0";"";""
"Kovalenko";"Olena";"15.06.2008";"2025";"2";"GE";"";"";"PUK";"";"5";"";"4";"";"";"";"0";"0";"";""
"Ahmadi";"Laila";"28.07.2008";"2025";"2";"D";"";"";"PUK";"";"4";"";"4";"";"";"";"0";"0";"";""
"Ahmadi";"Laila";"28.07.2008";"2025";"2";"M";"";"";"PUK";"";"3";"";"4";"";"";"";"0";"0";"";""
"Ahmadi";"Laila";"28.07.2008";"2025";"2";"E";"";"";"PUK";"";"2";"";"4";"";"";"";"0";"0";"";""
"Ahmadi";"Laila";"28.07.2008";"2025";"2";"PH";"";"";"PUK";"";"2";"";"4";"";"";"";"0";"0";"";""
"Ahmadi";"Laila";"28.07.2008";"2025";"2";"GE";"";"";"PUK";"";"5";"";"4";"";"";"";"0";"0";"";""
"Karimi";"Hamid";"11.02.2007";"2025";"2";"D";"";"";"PUK";"";"4";"";"4";"";"";"";"0";"0";"";""
"Karimi";"Hamid";"11.02.2007";"2025";"2";"M";"";"";"PUK";"";"1";"";"4";"";"";"";"0";"0";"";""
"Karimi";"Hamid";"11.02.2007";"2025";"2";"E";"";"";"PUK";"";"1";"";"4";"";"";"";"0";"0";"";""
"Karimi";"Hamid";"11.02.2007";"2025";"2";"PH";"";"";"PUK";"";"1";"";"4";"";"";"";"0";"0";"";""
"Karimi";"Hamid";"11.02.2007";"2025";"2";"GE";"";"";"PUK";"";"2";"";"4";"";"";"";"0";"0";"";""
"Hussain";"Mariam";"19.09.2008";"2025";"2";"D";"";"";"PUK";"";"6";"";"4";"";"";"";"0";"0";"";""
"Hussain";"Mariam";"19.09.2008";"2025";"2";"M";"";"";"PUK";"";"2";"";"4";"";"";"";"0";"0";"";""
"Hussain";"Mariam";"19.09.2008";"2025";"2";"E";"";"";"PUK";"";"6";"";"4";"";"";"";"0";"0";"";""
"Hussain";"Mariam";"19.09.2008";"2025";"2";"PH";"";"";"PUK";"";"4";"";"4";"";"";"";"0";"0";"";""
"Hussain";"Mariam";"19.09.2008";"2025";"2";"GE";"";"";"PUK";"";"5";"";"4";"";"";"";"0";"0";"";""
"Nguyen";"Thanh";"14.05.2007";"2025";"2";"D";"";"";"PUK";"";"1";"";"4";"";"";"";"0";"0";"";""
"Nguyen";"Thanh";"14.05.2007";"2025";"2";"M";"";"";"PUK";"";"4";"";"4";"";"";"";"0";"0";"";""
"Nguyen";"Thanh";"14.05.2007";"2025";"2";"E";"";"";"PUK";"";"4";"";"4";"";"";"";"0";"0";"";""
"Nguyen";"Thanh";"14.05.2007";"2025";"2";"PH";"";"";"PUK";"";"5";"";"4";"";"";"";"0";"0";"";""
"Nguyen";"Thanh";"14.05.2007";"2025";"2";"GE";"";"";"PUK";"";"4";"";"4";"";"";"";"0";"0";"";""
"Tran";"Linh";"03.11.2008";"2025";"2";"D";"";"";"PUK";"";"5";"";"4";"";"";"";"0";"0";"";""
"Tran";"Linh";"03.11.2008";"2025";"2";"M";"";"";"PUK";"";"3";"";"4";"";"";"";"0";"0";"";""
"Tran";"Linh";"03.11.2008";"2025";"2";"E";"";"";"PUK";"";"5";"";"4";"";"";"";"0";"0";"";""
"Tran";"Linh";"03.11.2008";"2025";"2";"PH";"";"";"PUK";"";"1";"";"4";"";"";"";"0";"0";"";""
"Tran";"Linh";"03.11.2008";"2025";"2";"GE";"";"";"PUK";"";"6";"";"4";"";"";"";"0";"0";"";""
"Ionescu";"Andrei";"26.06.2007";"2025";"2";"D";"";"";"PUK";"";"6";"";"4";"";"";"";"0";"0";"";""
"Ionescu";"Andrei";"26.06.2007";"2025";"2";"M";"";"";"PUK";"";"1";"";"4";"";"";"";"0";"0";"";""
"Ionescu";"Andrei";"26.06.2007";"2025";"2";"E";"";"";"PUK";"";"6";"";"4";"";"";"";"0";"0";"";""
"Ionescu";"Andrei";"26.06.2007";"2025";"2";"PH";"";"";"PUK";"";"5";"";"4";"";"";"";"0";"0";"";""
"Ionescu";"Andrei";"26.06.2007";"2025";"2";"GE";"";"";"PUK";"";"3";"";"4";"";"";"";"0";"0";"";""
"Popa";"Diana";"08.01.2008";"2025";"2";"D";"";"";"PUK";"";"6";"";"4";"";"";"";"0";"0";"";""
"Popa";"Diana";"08.01.2008";"2025";"2";"M";"";"";"PUK";"";"3";"";"4";"";"";"";"0";"0";"";""
"Popa";"Diana";"08.01.2008";"2025";"2";"E";"";"";"PUK";"";"1";"";"4";"";"";"";"0";"0";"";""
"Popa";"Diana";"08.01.2008";"2025";"2";"PH";"";"";"PUK";"";"3";"";"4";"";"";"";"0";"0";"";""
"Popa";"Diana";"08.01.2008";"2025";"2";"GE";"";"";"PUK";"";"4";"";"4";"";"";"";"0";"0";"";""
"Benali";"Karim";"17.04.2007";"2025";"2";"D";"";"";"PUK";"";"2";"";"4";"";"";"";"0";"0";"";""
"Benali";"Karim";"17.04.2007";"2025";"2";"M";"";"";"PUK";"";"4";"";"4";"";"";"";"0";"0";"";""
"Benali";"Karim";"17.04.2007";"2025";"2";"E";"";"";"PUK";"";"1";"";"4";"";"";"";"0";"0";"";""
"Benali";"Karim";"17.04.2007";"2025";"2";"PH";"";"";"PUK";"";"6";"";"4";"";"";"";"0";"0";"";""
"Benali";"Karim";"17.04.2007";"2025";"2";"GE";"";"";"PUK";"";"6";"";"4";"";"";"";"0";"0";"";""
"El-Fassi";"Amina";"23.08.2008";"2025";"2";"D";"";"";"PUK";"";"3";"";"4";"";"";"";"0";"0";"";""
"El-Fassi";"Amina";"23.08.2008";"2025";"2";"M";"";"";"PUK";"";"5";"";"4";"";"";"";"0";"0";"";""
"El-Fassi";"Amina";"23.08.2008";"2025";"2";"E";"";"";"PUK";"";"2";"";"4";"";"";"";"0";"0";"";""
"El-Fassi";"Amina";"23.08.2008";"2025";"2";"PH";"";"";"PUK";"";"5";"";"4";"";"";"";"0";"0";"";""
"El-Fassi";"Amina";"23.08.2008";"2025";"2";"GE";"";"";"PUK";"";"1";"";"4";"";"";"";"0";"0";"";""
"Nikolić";"Maja";"12.03.2007";"2025";"2";"D";"";"";"PUK";"";"6";"";"4";"";"";"";"0";"0";"";""
"Nikolić";"Maja";"12.03.2007";"2025";"2";"M";"";"";"PUK";"";"3";"";"4";"";"";"";"0";"0";"";""
"Nikolić";"Maja";"12.03.2007";"2025";"2";"E";"";"";"PUK";"";"6";"";"4";"";"";"";"0";"0";"";""
"Nikolić";"Maja";"12.03.2007";"2025";"2";"PH";"";"";"PUK";"";"5";"";"4";"";"";"";"0";"0";"";""
"Nikolić";"Maja";"12.03.2007";"2025";"2";"GE";"";"";"PUK";"";"5";"";"4";"";"";"";"0";"0";"";""
"Begić";"Alen";"04.07.2008";"2025";"2";"D";"";"";"PUK";"";"2";"";"4";"";"";"";"0";"0";"";""
"Begić";"Alen";"04.07.2008";"2025";"2";"M";"";"";"PUK";"";"2";"";"4";"";"";"";"0";"0";"";""
"Begić";"Alen";"04.07.2008";"2025";"2";"E";"";"";"PUK";"";"3";"";"4";"";"";"";"0";"0";"";""
"Begić";"Alen";"04.07.2008";"2025";"2";"PH";"";"";"PUK";"";"2";"";"4";"";"";"";"0";"0";"";""
"Begić";"Alen";"04.07.2008";"2025";"2";"GE";"";"";"PUK";"";"5";"";"4";"";"";"";"0";"0";"";""
"Hodžić";"Amra";"18.12.2009";"2025";"2";"D";"";"";"PUK";"";"5";"";"4";"";"";"";"0";"0";"";""
"Hodžić";"Amra";"18.12.2009";"2025";"2";"M";"";"";"PUK";"";"1";"";"4";"";"";"";"0";"0";"";""
"Hodžić";"Amra";"18.12.2009";"2025";"2";"E";"";"";"PUK";"";"5";"";"4";"";"";"";"0";"0";"";""
"Hodžić";"Amra";"18.12.2009";"2025";"2";"PH";"";"";"PUK";"";"3";"";"4";"";"";"";"0";"0";"";""
"Hodžić";"Amra";"18.12.2009";"2025";"2";"GE";"";"";"PUK";"";"4";"";"4";"";"";"";"0";"0";"";""
"Horvat";"Josip";"09.09.2007";"2025";"2";"D";"";"";"PUK";"";"1";"";"4";"";"";"";"0";"0";"";""
"Horvat";"Josip";"09.09.2007";"2025";"2";"M";"";"";"PUK";"";"1";"";"4";"";"";"";"0";"0";"";""
"Horvat";"Josip";"09.09.2007";"2025";"2";"E";"";"";"PUK";"";"3";"";"4";"";"";"";"0";"0";"";""
"Horvat";"Josip";"09.09.2007";"2025";"2";"PH";"";"";"PUK";"";"3";"";"4";"";"";"";"0";"0";"";""
"Horvat";"Josip";"09.09.2007";"2025";"2";"GE";"";"";"PUK";"";"2";"";"4";"";"";"";"0";"0";"";""
"Kovač";"Petra";"26.02.2008";"2025";"2";"D";"";"";"PUK";"";"1";"";"4";"";"";"";"0";"0";"";""
"Kovač";"Petra";"26.02.2008";"2025";"2";"M";"";"";"PUK";"";"2";"";"4";"";"";"";"0";"0";"";""
"Kovač";"Petra";"26.02.2008";"2025";"2";"E";"";"";"PUK";"";"5";"";"4";"";"";"";"0";"0";"";""
